year,country,"Stocks traded, total value (% of GDP)","Inflation, consumer prices (annual %)","Stocks traded, turnover ratio of domestic shares (%)",Tax revenue (% of GDP),GDP per capita (current US$),"Central government debt, total (% of GDP)",Gini index (World Bank estimate),Broad money (% of GDP),"Total reserves (includes gold, current US$)","International migrant stock, total",Income share held by highest 10%,Poverty headcount ratio at national poverty lines (% of population),"Life expectancy at birth, total (years)","Mortality rate, infant (per 1,000 live births)","Unemployment, total (% of total labor force) (modeled ILO estimate)",Exports of goods and services (% of GDP),timestamp
2006,MDG,,10.7656371554866,,9.20188162119539,338.751198261085,,,19.4141162047676,5.83182459275841E8,,,,61.65,53.6,2.84,27.4869137820183,1635717154028
2007,MDG,,10.2879663187671,,9.84806132477098,438.65551579131,,,20.2004514506931,8.46677005492943E8,,,,62.079,51.6,3.06,27.7962071429556,1635717159067
2008,MDG,,9.29650839381059,,11.3914513191542,536.351379012958,,,19.7663961291309,9.82306552811993E8,,,,62.509,49.8,3.34,27.707200569716,1635717164123
2009,MDG,,8.95421802392944,,8.3441486585365,467.539800351514,,,21.1983994862242,9.82078789679611E8,,,,62.944,48.1,3.88,20.3758290964931,1635717169137
2010,MDG,,9.24732173644115,,8.53531938073355,471.959197029823,,42.4,21.3619695455689,1.02297069636859E9,28905.0,34.3,71.7,63.388,46.6,4.28,21.8743811931344,1635717174145
2011,MDG,,9.48254048582997,,8.71032254858013,531.265498542052,,,22.2783155340182,1.13455958973412E9,,,,63.836,45.3,2.02,22.7196358351714,1635717179200
2012,MDG,,5.71384434191049,,8.36825325568717,518.15295430212,,42.6,22.0587056124056,1.05281091582789E9,,33.5,70.7,64.28,44.0,0.6,21.7806861493841,1635717184215
2005,RUS,19.3563204871942,12.6853039507349,,16.6229096830257,5323.46308263383,16.660868447567,41.3,33.3802789464406,1.82272103917674E11,1.1667588E7,31.4,17.8,65.529756097561,11.9,7.12,35.2030659646294,1635723694183
2006,RUS,58.8575839531948,9.66865454789265,,16.5682157585873,6920.18912483291,9.89107286043072,41.0,37.6220390035343,3.03773185900098E11,,31.3,15.2,66.7275609756098,11.0,7.06,33.7304754438509,1635723699193
2007,RUS,98.2546461331811,9.00729868861076,,16.5513130625157,9101.25504905672,7.15843011662711,42.3,42.976748070357,4.7882228613205E11,,32.8,13.3,67.5868292682927,10.2,6.0,30.1640604847185,1635723704246
2008,RUS,69.5436440483705,14.1107677840442,,15.8180678239761,11635.2729337888,6.49528743788997,41.6,39.507860510671,4.26278773721659E11,,32.5,13.4,67.9492682926829,9.6,6.21,31.3095603335689,1635723709259
