year,country,"Stocks traded, total value (% of GDP)","Inflation, consumer prices (annual %)","Stocks traded, turnover ratio of domestic shares (%)",Tax revenue (% of GDP),GDP per capita (current US$),"Central government debt, total (% of GDP)",Gini index (World Bank estimate),Broad money (% of GDP),"Total reserves (includes gold, current US$)","International migrant stock, total",Income share held by highest 10%,Poverty headcount ratio at national poverty lines (% of population),"Life expectancy at birth, total (years)","Mortality rate, infant (per 1,000 live births)","Unemployment, total (% of total labor force) (modeled ILO estimate)",Exports of goods and services (% of GDP),timestamp
2018,AUT,8.66876555583439,1.99837981429546,33.7595602757009,25.430348081384,51453.1470238016,,30.8,,2.31906652210656E10,,23.9,13.3,81.6926829268293,2.9,4.85,55.690950654202,1635699759393
1997,GHA,0.599450734762708,27.8852086407528,3.65720862290293,,384.7963283302,,,23.8419648702651,6.17628952493103E8,,,,57.187,70.0,7.57,32.4102909291879,1635708848050
2019,AUT,7.52230534988954,1.53089564152645,25.1543,25.5793267629718,50121.5542131186,,,,2.36163974378114E10,,,,81.7926829268293,2.8,4.49,55.5756031914258,1635699764406
1998,GHA,0.765542553191489,14.6241666666674,4.12902574602923,,407.523237017857,,40.1,22.8573763581591,4.56699772550149E8,,29.6,,57.045,68.3,8.2,33.8713517576318,1635708853062
2020,AUT,9.23073455744891,1.38191063351859,30.1170738908984,,48327.6311083474,,,,3.04395624251269E10,,,,,,5.77,52.628871881371,1635699769479
1999,GHA,0.257664020058504,12.4086689107147,2.16195652173913,,410.334011559612,,,24.0928291330063,5.3475390189043E8,,,,56.972,66.3,10.1,32.0783389537313,1635708858073
1990,AZE,,,,,,,,,,360600.0,,,64.827,75.8,,43.8608458390177,1635699774491
2000,GHA,0.139674210477857,25.1932193743247,1.392,,258.471039929679,,,28.1661733054676,3.08900898386218E8,191601.0,,,57.002,64.1,10.36,48.8022576190038,1635708863132
1991,AZE,,,,,,,,,,,,,64.745,75.9,0.9,45.6586826347305,1635699779504
2001,GHA,0.235187427601804,32.9054088960069,4.46428571428571,17.1929278946802,269.014984764581,,,31.4453255740362,3.75936405544189E8,,,,57.158,61.9,9.26,45.2330164667316,1635708868144
1992,AZE,,-10.6300971576201,,,60.4586230771546,,,38.5942200369287,0.0,,,,64.731,76.2,1.8,86.2036057343209,1635699784556
2002,GHA,0.162171012238549,14.8162400637478,2.85714285714286,17.4931112111661,304.564635977066,,,34.1082281365568,6.36059799997825E8,,,,57.425,59.7,8.3,42.6162518930867,1635708873158
1993,AZE,,1128.00002429404,,,209.472981987992,,,54.8495885350318,590075.584692729,,,,64.81,76.3,4.5,57.4624203821656,1635699789569
2003,GHA,0.57635818657541,26.6749497261172,6.8734375,18.4776861347961,367.821362113662,,,31.0459269884883,1.47006130967805E9,,,,57.785,57.8,7.34,40.67904265112,1635708878214
1994,AZE,,1662.21594875899,,25.5591673338671,157.076754233359,,,55.9175834000534,2034228.47621105,,,,64.991,75.9,6.3,24.7211102215105,1635699794582
1995,AZE,,411.759641777268,,17.9540725466304,314.555086536923,,34.7,12.3152709813478,1.20884190931729E8,344070.0,26.8,,65.256,75.0,7.2,32.4866435467242,1635699799638
1996,AZE,,19.7948028061899,,9.85045743980092,409.163189106479,,,11.260336390251,2.13661231432484E8,,,,65.573,73.4,8.1,24.9286393910561,1635699804647
1997,AZE,,3.6743480968473,,10.693809961055,505.500349333104,,,13.7784694930817,4.67319243469369E8,,,,65.899,71.2,9.1,29.0346072254061,1635699809658
1998,AZE,,-0.772697886033187,,12.6793349997094,561.906807871869,,,10.7290918594431,4.48540667457412E8,,,,66.207,68.2,10.0,22.6995291518921,1635699814714
1999,AZE,,-8.52517000536062,,12.7334587163254,573.916512334089,,,11.740901202216,6.72589591859642E8,,,,66.491,64.8,10.9,27.9701199968213,1635699819725
2000,AZE,,1.80500303704358,,,655.119945170816,,,16.2908235115195,6.7960550408201E8,327540.0,,,66.763,61.1,11.78,40.1708314787732,1635699824737
2001,AZE,,1.54719590152278,,,703.683843432722,,36.5,12.9316251296911,7.2497935394087E8,,29.5,49.6,67.054,57.3,10.91,41.4986078711716,1635699829792
2002,AZE,,2.77116471998268,,,763.080637985358,,25.3,12.9799509806046,7.20471772469666E8,,23.2,,67.391,53.7,10.04,42.7678350515464,1635699834805
2003,AZE,,2.23386492967051,,,883.733971498452,,26.8,14.2847604413775,8.02839749214127E8,,23.6,,67.791,50.3,9.17,42.0065766459106,1635699839818
2004,AZE,,6.70893042797785,,,1045.00937916805,,26.6,17.6535586582497,1.07508429267504E9,,24.3,,68.249,47.2,7.99,48.7890084640454,1635699844872
2005,AZE,,9.67950731917054,,,1578.40239029603,,26.6,14.6833526495037,1.17774366423387E9,302220.0,24.2,,68.747,44.4,7.26,62.9411060091835,1635699849884
2006,AZE,,8.32892482863207,,,2473.08181863536,,,18.3235363268822,2.50037295608952E9,,,,69.259,41.8,6.62,66.5041448400209,1635699854897
2007,AZE,,16.6997549618245,,,3851.43786871172,,,20.7939232417976,4.27311488233472E9,,,15.8,69.752,39.3,6.33,68.1289116905555,1635699859956
2008,AZE,,20.8490871772713,,16.4211753684861,5574.60380218613,4.57653797474662,,21.1629793146757,6.46723921136657E9,,,13.2,70.201,37.0,5.86,65.7761378471842,1635699864970
2009,AZE,,1.45704835970323,,14.1067089869809,4950.29479142375,6.29501240116287,,23.7888372455655,5.36385035415113E9,,,10.9,70.597,34.8,5.74,51.6357456848728,1635699869981
2010,AZE,,5.72687224669606,,12.1577769928176,5843.5337683582,6.38557579182856,,24.790979277664,6.40905973022349E9,276901.0,,9.1,70.938,32.6,5.63,54.3047215353821,1635699875033
2011,AZE,,7.85833333333332,,12.2247609538804,7189.69122920765,,,26.6947809784571,1.02739257848398E10,,,7.6,71.234,30.6,5.42,56.4269805307016,1635699880046
2012,AZE,,1.06621339720313,,12.7786393685483,7496.29464768263,,,30.6433467346745,1.12773457490186E10,,,6.0,71.506,28.6,5.19,52.9746801915106,1635699885058
2013,AZE,,2.41571745279411,,13.3883331614589,7875.75695254288,,,33.1542970168781,1.5175667724097E10,,,,71.768,26.8,4.97,48.4158330755216,1635699890110
2014,AZE,,1.3734418153318,,14.2125356482603,7891.31314749986,,,36.544870094774,1.58164166013299E10,,,,72.022,25.0,4.91,43.2735566584935,1635699895121
2015,AZE,,4.02768573742728,,15.6031629275469,5500.31038244408,,,39.2035490126885,7.31939411232726E9,264241.0,,,72.266,23.4,4.96,37.7947774917249,1635699900134
2016,AZE,,12.4433748584372,,14.5555165725558,3880.73873089556,,,34.571996388808,6.57386290311433E9,,,,72.493,21.8,5.0,46.4276493913136,1635699905190
2017,AZE,,12.9359184187334,,13.1640455061148,4147.08971569171,,,32.375295290754,6.6805322167134E9,,,,72.693,20.5,5.0,48.547864732761,1635699910203
2004,GHA,0.820594255125713,12.6245740629385,15.1833333333333,21.7521055188451,417.508066727662,,,32.7225904303127,1.74972925935718E9,,,,58.225,56.2,6.4,39.3033251214107,1635708883239
2005,GHA,0.474653714548924,15.1181857227945,8.36065573770492,21.321508315786,492.54405617264,,42.8,32.1100295243883,1.89705704026241E9,304436.0,32.7,31.9,58.719,54.8,5.5,36.449216950714,1635708888247
2006,GHA,0.252435155140682,10.9151699672041,6.78947368421053,12.8070716641833,913.393849309942,,,23.2641684344035,2.26892656651141E9,,,,59.234,53.5,4.64,25.1921187594134,1635708893302
2007,GHA,0.585632785669235,10.7327280704715,6.05507872851676,13.8779845463992,1081.16631826269,,,25.7168116882847,2.21831134767966E9,,,,59.741,52.1,4.69,24.5250906044049,1635708898315
2008,GHA,1.00004526386547,16.5221433143344,10.0830409438964,13.8959679074555,1217.06443549146,,,27.461460329864,2.01420528749439E9,,,,60.216,50.5,4.79,25.0294572995074,1635708903327
2009,GHA,0.198862810427528,19.2507144305153,2.13430462048108,12.6124615220586,1077.66205832571,,,28.247021571746,3.69182233502409E9,,,,60.645,48.8,5.14,29.2918659785048,1635708908377
2010,GHA,0.316175847070017,10.7075681218711,3.45355176426286,13.3883874032931,1299.34521164062,,,29.619193066523,5.15815162884547E9,337017.0,,,61.03,47.0,5.32,29.4767179831573,1635708913389
2011,GHA,0.64595156336337,8.72683683123394,8.2007158279302,14.8657903615734,1549.46271883345,,,30.5490058881024,5.91360003724248E9,,,,61.381,45.2,5.62,36.9366085502594,1635708918417
2012,GHA,0.12357358904027,7.12635005995033,,15.3681810106551,1587.56093185809,,42.4,30.3617418407418,5.83509832820187E9,,31.8,24.2,61.72,43.4,5.93,40.3592181740371,1635708923473
2013,GHA,0.307052935740519,11.6661923071729,,10.6718364983438,2361.09032361113,,,21.9527563453886,5.5877391263869E9,,,,62.064,41.8,6.26,25.6576573962784,1635708928486
2014,GHA,,15.4896160333319,,11.3512039289836,1899.66833614134,,,25.0438761507733,5.56370927119552E9,,,,62.416,40.2,6.52,29.903799282369,1635708933495
2015,GHA,,17.1499695007877,,18.6719865156507,1705.57508204519,,,26.7012486091659,5.74264588629529E9,399471.0,,,62.772,38.8,6.81,32.6760059390323,1635708938550
2016,GHA,,17.4546347070868,,11.3963160533288,1913.47353585435,,43.5,27.0840216748419,5.86672959616504E9,,32.2,23.4,63.124,37.4,5.45,32.179173701918,1635708943561
2017,GHA,,11.6995402038927,,11.8841712553409,2020.68178984221,,,26.1645434717648,7.01518715964987E9,,,,63.463,36.1,4.22,35.3496284028405,1635708948573
2018,GHA,,0.407361985076083,,12.6160392973984,2194.23247709545,,,25.8903761030882,6.29485156402725E9,,,,63.78,35.0,4.16,35.3941824883303,1635708953633
2019,GHA,,7.17592284708851,,12.2375427115069,2210.35592258865,,,26.8248084035321,7.56321034092838E9,,,,64.074,33.9,4.12,35.8426561307871,1635708958642
2020,GHA,0.0451389092725494,9.95344087035522,0.353179207628498,,2328.53464211079,,,29.8329132015934,7.88409153870727E9,,,,,,4.53,,1635708963655
1990,GIB,,,,,,,,,,8709.0,,,,,,,1635708968706
1991,GIB,,,,,,,,,,,,,,,,,1635708973718
1992,GIB,,,,,,,,,,,,,,,,,1635708978730
1993,GIB,,,,,,,,,,,,,,,,,1635708983785
1994,GIB,,,,,,,,,,,,,,,,,1635708988798
1995,GIB,,,,,,,,,,8381.0,,,,,,,1635708993811
2018,AZE,,2.26854690374005,,12.9712717874444,4739.84171028393,,,30.04094438261,6.66598993645047E9,,,,72.864,19.3,4.9,54.0922938620586,1635699915213
1996,GIB,,,,,,,,,,,,,,,,,1635708998861
2019,AZE,,2.61057182799216,,14.2188526451777,4805.75371765917,,,35.247430493515,7.04299670993734E9,,,,73.005,18.2,4.84,49.0506275016423,1635699920268
1997,GIB,,,,,,,,,,,,,,,,,1635709003873
2020,AZE,,2.75980947008126,,,4214.3113363475,,,40.2939681140432,7.63375410994894E9,,,,,,6.27,35.6953123058529,1635699925280
1998,GIB,,,,,,,,,,,,,,,,,1635709008885
1999,GIB,,,,,,,,,,,,,,,,,1635709013938
2000,GIB,,,,,,,,,,8054.0,,,,,,,1635709018945
2001,GIB,,,,,,,,,,,,,,,,,1635709023958
2002,GIB,,,,,,,,,,,,,,,,,1635709029013
2003,GIB,,,,,,,,,,,,,,,,,1635709034026
2004,GIB,,,,,,,,,,,,,,,,,1635709039038
2005,GIB,,,,,,,,,,9211.0,,,,,,,1635709044093
2006,GIB,,,,,,,,,,,,,,,,,1635709049104
2007,GIB,,,,,,,,,,,,,,,,,1635709054117
2008,GIB,,,,,,,,,,,,,,,,,1635709059170
2009,GIB,,,,,,,,,,,,,,,,,1635709064181
2010,GIB,,,,,,,,,,10369.0,,,,,,,1635709069189
2011,GIB,,,,,,,,,,,,,,,,,1635709074241
2012,GIB,,,,,,,,,,,,,,,,,1635709079252
2013,GIB,,,,,,,,,,,,,,,,,1635709084265
2014,GIB,,,,,,,,,,,,,,,,,1635709089318
1990,BDI,,7.00216956651126,,,208.146678899064,,,15.7785308286654,1.11668438445462E8,333110.0,,,47.829,105.2,,7.87299229412311,1635699930293
2015,GIB,,,,,,,,,,11065.0,,,,,,,1635709094330
1991,BDI,,8.99693873494325,,15.142662979358,209.778011006784,88.7936648764972,,17.0356020349413,1.47473748750129E8,,,,47.522,106.3,1.75,9.91737770059179,1635699935345
2016,GIB,,,,,,,,,,,,,,,,,1635709099342
2017,GIB,,,,,,,,,,,,,,,,,1635709104410
1992,BDI,,1.8233333333331,,15.1227839627811,190.488879935296,103.991579904102,33.3,16.9075357682664,1.79911767284509E8,,26.6,,47.212,107.0,1.79,8.74918052248067,1635699940354
2018,GIB,,,,,,,,,,,,,,,,,1635709109419
1993,BDI,,9.67934658067928,,14.9289163092236,161.887525025872,117.630979428415,,17.73312870522,1.69711841577049E8,,,,46.953,107.3,1.85,9.38196084636915,1635699945368
2019,GIB,,,,,,,,,,,,,,,,,1635709114432
2010,RWA,,-0.246128693436925,,,609.724917020252,,47.2,15.5632367282526,8.06395755959935E8,436787.0,39.8,,63.433,43.8,1.07,10.7489576215702,1635723875115
1994,BDI,,14.852814983397,,15.6160547727238,156.812380979725,117.012589933937,,23.0052066694014,2.11303503340123E8,,,,46.786,107.0,1.87,10.2717650485534,1635699950423
2020,GIB,,,,,,,,,,,,,,,,,1635709119488
2011,RWA,,3.0801706924026,,,668.494672193863,,,17.3440359030725,7.17579235836789E8,,,,64.523,39.8,1.1,12.6660117383553,1635723880166
1995,BDI,,19.2632536382538,,16.6782065784591,167.098887846036,128.919219059812,,19.8036143636716,2.16108467542699E8,254853.0,,,46.758,106.1,1.87,12.9263428540091,1635699955437
1990,GIN,,,,12.1055381993752,419.809870822721,,,,,403621.0,,,49.987,136.6,,31.0752357966487,1635709124496
2012,RWA,,10.2710182318876,,,725.169770255329,,,17.2559474690485,4.74675025973947E8,,,,65.438,37.0,1.14,12.0012758690102,1635723885179
1996,BDI,,26.4367816091951,,13.4389965792474,143.402323772521,144.097681489928,,22.3323071075637,1.45960526577454E8,,,,46.905,104.7,1.87,5.8203210186241,1635699960449
1991,GIN,,,,10.745532410646,461.375312462986,,46.8,9.17442978785935,1.45115266890872E8,,31.7,,50.593,133.2,4.37,30.3308789199472,1635709129509
2013,RWA,,5.92426867984847,,,722.894328508749,,45.1,17.9923589245972,6.54177583464105E8,,37.9,39.1,66.219,34.5,1.18,13.5000696498985,1635723890189
1997,BDI,,31.1115898319694,,11.4203617269545,158.914669880487,134.247082847141,,18.5863768961494,1.18039205611467E8,,,,47.226,102.9,1.87,9.83547257876313,1635699965506
1992,GIN,,,,10.8417838670524,489.07160407065,,,8.67675510306028,9.86194587513226E7,,,,51.066,129.6,4.42,24.8746135391254,1635709134569
2014,RWA,,2.35449052820364,,12.9548476497109,743.559037978437,,,18.9594602751982,9.45126111233454E8,,,,66.884,32.5,1.17,13.8763960665894,1635723895241
1995,MHL,,,,,2382.96269869584,,,,,1480.0,,,,33.6,,22.3185561008068,1635717566340
1996,MHL,,,,,2194.20857827128,,,,,,,,,33.2,,23.3003481931841,1635717571348
1997,MHL,,,,,2194.23225576279,,,,,,,,,33.1,,25.6632907459063,1635717576360
1998,MHL,,,,,2229.71244737469,,,,,,,,,33.1,,24.7090739708263,1635717581419
1999,MHL,,,,,2267.56912213892,,,,,,,,67.5048780487805,33.1,,22.1163459326507,1635717586432
2000,MHL,,,,,2272.67801552587,,,,,1891.0,,,65.2390243902439,33.1,,28.6963306530267,1635717591444
2001,MHL,,,,,2389.06070685262,,,,,,,,,33.1,,25.3630397967824,1635717596499
2002,MHL,,,,,2515.62404521845,,,,,,,,,33.0,,27.3764936821666,1635717601512
2003,MHL,,,,,2457.6545403535,,,,,,,,,32.8,,30.1529317305753,1635717606520
2004,MHL,,,,,2431.166018063,,,,,,,,,32.6,,31.6279347207268,1635717611571
2005,MHL,,,,,2471.35204589464,,,,,2417.0,,,,32.4,,33.9635104112127,1635717616583
2006,MHL,,,,,2537.71720613288,,,,,,,,,32.2,,26.4003736685232,1635717621601
2007,MHL,,,,,2646.87399636013,,,,,,,,,32.0,,27.425753319757,1635717626658
2008,MHL,,,,18.658091006584,2704.46355446355,63.0093654397761,,,,,,,,31.8,,29.0435941274097,1635717631670
2009,MHL,,,,18.577716706194,2662.33401475424,65.688719873726,,,,,,,,31.7,,28.8863694634959,1635717636678
2010,MHL,,,,17.7984659033172,2846.06554177534,65.6397223065563,,,,3089.0,,,,31.5,,37.8666530346849,1635717641728
2011,MHL,,,,17.0491351048415,3046.29007147406,53.3336889513527,,,,,,,,31.3,,51.3278180598588,1635717646740
2012,MHL,,,,16.4101785505466,3181.62470023981,49.2634087486831,,,,,,,,31.0,,55.6996014660021,1635717651752
2013,MHL,,,,16.626750970026,3246.63024959163,42.713722757579,,,,,,,,30.5,,52.0360267560555,1635717656808
2014,MHL,,,,16.1925467270735,3185.26135389889,50.5718974343208,,,,,,,,30.0,,50.6076001906197,1635717661821
2015,MHL,,,,17.3469175140345,3199.88684631989,47.456433476612,,,,3284.0,,,,29.3,,44.8141412284028,1635717666832
2016,MHL,,,,17.383247258585,3490.99838885713,48.6557960884498,,,,,,,,28.6,,36.3738636470781,1635717671888
2017,MHL,,,,17.6628535755175,3672.57678328424,,,,,,,,,27.9,,39.1153359621133,1635717676900
2018,MHL,,,,17.7892484686733,3793.55098267479,,,,,,,,,27.2,,40.3904256937058,1635717681908
2019,MHL,,,,17.4161099330082,4073.10982973584,,,,,,,,,26.4,,,1635717686962
2020,MHL,,,,,,,,,,,,,,,,,1635717691974
1990,MKD,,,,,2354.27525606399,,,,,95142.0,,,71.152,32.3,,24.5678571428571,1635717696986
1991,MKD,,,,,2477.68303791297,,,,,,,,71.331,30.8,35.53,21.7757231404959,1635717702240
1992,MKD,,,,,1225.37314943187,,,,,,,,71.502,30.4,35.68,51.6639045623086,1635717707253
1993,MKD,,,,,1352.02845154682,,,70.2103385663555,1.20503199512557E8,,,,71.68,28.7,35.95,44.4450307714557,1635717712261
1994,MKD,,126.583368336245,,,1794.700840204,,,12.7220779220779,1.66364466383332E8,,,,71.871,25.2,36.03,36.3116883116883,1635717717321
1995,MKD,,16.3735889723568,,,2359.79200909084,,,11.1877562236766,2.75093143655086E8,109343.0,,,72.08,21.6,36.02,31.3839303239845,1635717722339
1996,MKD,,2.46660008582917,,,2338.07066109787,,,10.726158852974,2.67527141454902E8,,,,72.309,19.2,36.02,21.3048439326914,1635717727352
1997,MKD,,1.29436487155048,,,1964.89271970749,,,12.60534694858,2.80386381434733E8,,,,72.55,17.6,36.0,23.4909339016574,1635717732404
1998,MKD,,0.54419965252307,,,1866.8547290074,,,13.5906850196744,3.34778266442397E8,,,,72.795,16.4,34.5,23.2667286885206,1635717737417
1999,MKD,,-1.27928657572629,,,1908.59354359076,,,16.6365699782121,4.59592967899424E8,,,,73.038,15.2,32.4,23.0418595204847,1635717742425
2000,MKD,,6.60742291038535,,,1854.53627078482,,,17.9821915494317,4.60208291007042E8,125665.0,,,73.267,14.1,32.2,32.9468400859053,1635717747480
2001,MKD,,5.19888525744053,,,1815.84091482906,,,29.5182512985701,7.98842469930248E8,,,,73.47,13.4,30.52,29.1989080521251,1635717752492
2002,MKD,,2.31459794083216,,,1949.68244943234,,,26.4857046728105,7.89942743503613E8,,,,73.642,12.9,31.94,26.3008496370576,1635717757503
2003,MKD,,0.855562122724249,,,2409.78935945595,,,30.2031735323453,9.34744444052249E8,,,,73.781,12.7,36.69,27.6563674663372,1635717762555
2004,MKD,,-0.448650206552057,,,2762.59368581172,,,33.6734331606633,9.91429584921662E8,,,,73.892,12.5,37.16,30.7041661621306,1635717767565
2005,MKD,,0.52551595071433,,18.425098651308,3037.35452023388,,,35.4689454878796,1.34048693246754E9,127667.0,,,73.986,12.2,37.25,34.8076006574873,1635717772574
2006,MKD,,3.21362929606349,,18.0826616858798,3326.43851099255,,,40.7783121165333,1.88935231043791E9,,,,74.08,11.8,36.03,37.791482499104,1635717777628
2007,MKD,,2.25175798305448,,19.0748302217282,4037.12245180833,,,47.5703321680178,2.2642336356536E9,,,,74.19,11.1,34.93,44.1166137912355,1635717782638
2008,MKD,,8.33189666968097,,18.5239461061968,4794.33468216807,,,47.8074213361373,2.11017828564156E9,,,,74.324,10.3,33.76,43.2244691363976,1635717787650
2009,MKD,,-0.739633963061138,,17.1295782664692,4546.15217123979,,42.8,48.6373065453669,2.28827974285336E9,,30.7,27.0,74.484,9.5,32.18,32.8055433623879,1635717792708
2010,MKD,,1.50997522027615,,16.8656928030442,4545.39213137603,,40.2,51.4721968438211,2.2767670897281E9,129701.0,27.1,26.8,74.662,8.9,32.02,39.7897533935824,1635717797720
2011,MKD,,3.90475422069738,,16.999651001969,5063.88590630977,,39.4,52.8195883282443,2.66739334862602E9,,26.9,26.2,74.846,8.8,31.38,47.1242131386987,1635717802731
2012,MKD,,3.31605566687646,,16.4166504179317,4697.19668886498,,38.1,54.1444824284663,2.89147881061011E9,,26.5,24.2,75.019,9.2,31.02,45.3742530045875,1635717807786
2013,MKD,,2.78500056726115,,15.6689580043276,5210.1530440089,,36.2,51.6598782486667,2.74760465547163E9,,25.4,22.1,75.171,10.0,29.0,43.396474533315,1635717812799
2014,MKD,,-0.281705032928538,,16.2352837081218,5468.12622486189,,35.2,53.523749232048,2.96423641199583E9,,24.9,21.5,75.299,11.0,28.03,47.6628552909135,1635717817812
2015,MKD,,-0.299920475631447,,16.8182331222247,4843.49238734655,,35.6,54.4005213990523,2.47070135960007E9,130730.0,24.8,21.9,75.406,11.4,26.07,48.7379999069691,1635717822873
2016,MKD,,-0.239290787684491,,16.9511578216024,5132.99714567042,,34.5,54.1697419285478,2.7519295208021E9,,24.1,22.2,75.498,10.5,23.72,50.663842164107,1635717827885
2017,MKD,,1.3516188967744,,17.1611135905492,5432.41453143721,,34.2,54.5195352503758,2.80185331834827E9,,23.8,21.9,75.589,8.7,22.38,55.145719342637,1635717832896
2018,MKD,,1.45831298507127,,17.5749310468024,6087.46831134253,,33.0,56.5059526099487,3.28400354693106E9,,22.9,21.6,75.688,6.8,20.74,60.3751388208527,1635717837948
2019,MKD,,0.766439573459688,,17.164017532201,6022.24098997419,,,58.6036552632737,3.65051475041521E9,,,,75.797,5.3,17.26,62.2961331058475,1635717842957
2020,MKD,,1.20007348888482,,,5888.00401517897,,,65.6964310503619,4.12625408378E9,,,,,,18.4,58.1363238651833,1635717847968
1990,MLI,,0.606339703737518,,,317.389231784443,,,18.4939063988528,,160736.0,,,45.746,119.8,,15.6535918082124,1635717853025
1991,MLI,,1.80042722001858,,,315.456280747347,,,19.8724442690079,,,,,46.076,117.9,3.21,16.2112685675379,1635717858034
1992,MLI,,-6.24250599520428,,,319.838029708742,,,20.9869514237459,,,,,46.305,116.2,3.24,15.629103351586,1635717863047
1993,MLI,,-0.263767884261766,,,310.13835392769,,,21.3535366293308,,,,,46.445,114.7,3.29,15.8535047661871,1635717868100
1994,MLI,,23.1767911524285,,,223.017712441665,,50.4,20.5237707863673,,,40.4,,46.52,113.3,3.31,19.4427753535685,1635717873111
1995,MLI,,13.4417696811973,,,282.341048855079,,,18.8432762905033,,176187.0,,,46.573,111.8,3.3,19.5610676592397,1635717878120
1996,MLI,,6.80545996788236,,,282.632885875833,,,22.2756906752575,,,,,46.658,110.2,3.3,18.871477613841,1635717883173
1997,MLI,,-0.362999795946726,,,267.189291100346,,,21.918348435019,,,,,46.823,108.4,3.3,23.8265592935591,1635717888186
1998,MLI,,4.03658945954988,,,281.872549289048,,,20.8636247696393,,,,,47.103,106.4,3.92,21.2539525168432,1635717893194
1999,MLI,,-1.20190368637501,,,323.287170028425,,,17.1448314650228,,,,,47.515,104.1,4.62,20.2509889197506,1635717898245
2000,MLI,,-0.677661659046742,,10.7850780299968,270.542997870826,,,19.4200389764656,,189475.0,,,48.069,101.5,5.33,22.4785904568103,1635717903257
2001,MLI,,5.18701191944063,,10.585476749792,307.705825797048,,39.9,19.3569394500773,,,30.1,50.9,48.758,98.7,6.1,26.3124370675839,1635717908269
2002,MLI,,5.03282275711195,,11.1732839031018,336.417187313256,,,22.7873549798097,,,,,49.54,96.0,6.97,28.0874538136608,1635717913322
2003,MLI,,-1.34672619047622,,12.7679538099709,393.406772956044,,,27.4792621193106,,,,,50.373,93.3,7.86,25.7693403925944,1635717918344
2004,MLI,,-3.09978128063954,,13.6870443362899,440.958449506518,,,25.1776767858167,,,,,51.224,90.6,8.75,23.6771847065241,1635717923357
2005,MLI,,6.3978829389788,,13.300258431538,489.022820909143,,,24.5682355838017,,256797.0,,,52.057,88.1,9.76,22.9888693418902,1635717928412
2006,MLI,,1.54352596927583,,13.3161448258333,523.043008265274,,38.9,24.6375727091884,,,30.2,41.7,52.839,85.7,10.72,28.4289450992381,1635717933424
2007,MLI,,1.41200201714577,,13.0559705898701,597.479838805985,,,22.4841113382792,,,,,53.553,83.3,11.71,24.1521111507005,1635717938432
2008,MLI,,9.17098813667678,,11.8376139708391,697.087868500301,,,17.3937525340852,,,,,54.193,81.0,10.23,25.1441899954037,1635717943495
2009,MLI,,2.46375188572298,,12.9735828420195,701.712040297053,,33.0,22.542970123665,,,25.7,41.1,54.756,78.9,9.28,21.7133136937268,1635717948508
2010,MLI,,1.10892690670188,,12.8928505320254,710.274249372168,,,23.859890039836,,336607.0,,,55.251,76.7,8.07,22.8371701772321,1635717953521
2011,MLI,,2.95564395229391,,12.5452140284448,837.605820999201,,,23.2687170980264,,,,45.4,55.701,74.6,6.9,22.7261779161711,1635717958577
2012,MLI,,5.32312847064058,,12.9913134646021,778.625269510972,,,25.9057756052396,,,,,56.135,72.6,6.62,27.8563400059191,1635717963589
2013,MLI,,-0.606736356351494,,13.0329665961324,805.03397960822,,,27.2228210937901,,,,47.1,56.578,70.6,6.35,24.9405402595496,1635717968600
2014,MLI,,0.883814547137822,,12.6466400471577,848.279042956769,,,26.5573827096604,,,,46.9,57.036,68.7,6.38,22.5554869569717,1635717973656
2015,MLI,,1.45069057605958,,14.0951093886952,751.47288662264,,,26.8393298346862,,363145.0,,47.2,57.509,67.0,7.73,24.0437085118274,1635717978668
2016,MLI,,-1.79964707083376,,15.3959707239547,780.723569528087,,,27.7054388815694,,,,46.8,57.987,65.2,7.6,23.4429129749282,1635717983681
2017,MLI,,1.75985742927153,,15.8828451038729,830.021515346886,,,26.927041853235,,,,44.9,58.452,63.5,7.41,22.2140939375412,1635717988736
2018,MLI,,0.299546507387888,,11.6697373131735,894.804776510366,,,28.943728751735,,,,43.8,58.893,61.8,7.31,24.5223744016967,1635717993745
2019,MLI,,-1.65826694846368,,14.4998255684884,879.122775162059,,,29.5464248907824,,,,42.3,59.306,60.2,7.24,24.9819872377409,1635717998759
2020,MLI,,0.438088940320712,,,858.915805496235,,,36.5283553827299,,,,41.9,,,7.5,26.369475252241,1635718003812
1990,MLT,,2.98340586063559,,42.4343268358167,7191.92360259617,46.911699356094,,,1.49220812472436E9,15077.0,,,76.7860731707317,10.0,,75.8336262449983,1635718008824
1991,MLT,,2.54219284786974,,43.0508343726736,7558.27738257485,52.9265857269406,,,1.37465783405284E9,,,,77.0844634146341,9.7,5.89,77.3719647445128,1635718013878
1992,MLT,,1.63321209889046,,44.1720400341012,8220.2455176794,56.8779064413714,,,1.30833155128082E9,,,,77.3508048780488,9.3,5.87,81.7595778593911,1635718018890
1993,MLT,,4.14481954180491,,45.2629229121742,7296.31014355389,66.640517062744,,,1.40166295865609E9,,,,77.5934878048781,9.0,5.83,84.8121839900987,1635718023901
1994,MLT,,4.12992181638256,,42.314009539659,8000.51800452232,69.8052683972446,,,1.89002568118249E9,,,,77.8175365853659,8.6,5.88,85.9618426185406,1635718028962
1995,MLT,,4.42664550286656,,47.258076784006,9857.48077075996,,,,1.62032963205634E9,17740.0,,,77.290243902439,8.3,5.95,126.67043048676,1635718033973
